id x y theta
6 598.66 487.73 0.395
7 670.34 611.51 2.173
8 37.81 385.13 -1.847
9 52.04 288.59 -1.572
10 449.79 519.19 -2.610
11 44.31 419.58 -1.232
12 131.24 371.61 -1.894
13 166.57 637.39 1.179
14 629.15 586.09 -0.828
15 364.96 721.80 0.100
42
1 698.58 226.57 1.370
2 365.06 27.78 -3.049
3 324.69 539.81 0.468
4 719.90 182.31 -2.059
5 723.45 220.31 -1.993
6 603.83 490.82 0.398
7 662.93 621.21 2.222
8 37.47 382.08 -1.877
9 56.90 281.73 -1.401
10 446.40 516.85 -2.634
11 47.31 415.96 -1.213
12 127.65 364.94 -2.112
13 166.69 637.20 1.170
14 630.51 584.51 -0.944
15 373.47 721.44 0.037
43
1 700.70 231.99 1.286
2 355.59 27.62 -2.960
3 333.12 543.17 0.452
4 717.77 179.41 -2.085
5 721.90 217.97 -1.920
6 608.55 492.85 0.457
7 654.31 630.10 2.210
8 37.47 379.74 -1.848
9 61.35 272.34 -1.348
10 441.56 514.21 -2.657
11 49.93 410.30 -1.110
12 124.56 359.19 -2.130
13 166.82 637.14 1.146
14 630.90 582.42 -0.981
15 382.48 721.54 0.001
44
1 703.08 238.29 1.139
2 347.92 28.53 -2.995
3 341.60 546.49 0.352
4 716.03 175.45 -2.130
5 720.66 214.44 -1.839
6 614.45 494.48 0.409
7 646.61 639.25 2.248
8 37.80 377.59 -1.775
9 65.65 260.85 -1.299
10 438.27 512.48 -2.612
11 52.42 406.68 -1.095
12 120.50 354.38 -2.113
13 166.98 637.04 1.131
14 631.21 579.37 -1.014
15 391.44 721.70 0.012
45
1 705.19 243.43 1.018
2 338.10 29.06 3.110
3 350.16 549.56 0.323
4 714.29 173.08 -2.088
5 719.14 209.01 -1.918
6 619.47 496.48 0.404
7 637.99 648.53 2.271
8 38.42 375.39 -1.717
9 71.50 248.40 -1.169
10 432.11 509.33 -2.684
11 55.00 402.82 -1.099
12 116.29 348.87 -2.159
13 167.06 637.10 1.121
14 633.45 574.07 -1.134
15 400.84 720.78 -0.019
46
1 709.22 248.17 0.982
2 329.04 30.74 3.079
3 358.26 552.40 0.351
4 711.77 169.84 -2.112
5 718.17 205.11 -1.989
6 625.26 498.89 0.365
7 629.76 656.72 2.228
8 38.60 372.18 -1.690
9 78.30 235.30 -1.241
10 428.30 507.38 -2.745
11 59.51 397.67 -1.093
12 114.06 343.61 -2.263
13 167.10 637.30 1.117
14 635.40 570.81 -1.207
15 409.73 720.29 -0.069
47
1 714.13 254.08 0.862
2 320.95 34.06 2.966
3 365.21 554.09 0.316
4 708.79 166.21 -2.178
5 715.41 199.90 -2.018
6 630.73 499.99 0.308
7 620.84 665.21 2.318
8 38.22 366.38 -1.734
9 83.40 222.03 -1.276
10 422.95 504.84 -2.664
11 64.13 390.71 -1.051
12 111.14 335.56 -2.091
13 167.04 637.19 1.107
14 636.65 567.20 -1.213
15 418.60 718.35 -0.045
48
1 719.26 259.58 0.707
2 313.16 36.76 2.922
3 374.22 556.78 0.222
4 706.41 162.28 -2.171
5 710.95 194.12 -1.954
6 636.51 501.76 0.208
7 611.86 674.89 2.269
8 38.59 362.63 -1.706
9 86.61 210.90 -1.308
10 417.80 502.39 -2.573
11 68.73 383.47 -1.113
12 107.86 330.26 -1.951
13 167.04 637.38 1.094
14 638.59 562.31 -1.113
15 429.57 716.75 -0.146
49
1 724.47 263.23 0.752
2 303.81 39.44 2.931
3 383.04 557.78 0.231
4 703.56 158.59 -2.180
5 708.30 189.38 -2.018
6 641.02 503.04 0.281
7 601.88 682.72 2.385
8 38.53 359.60 -1.706
9 91.39 201.63 -1.242
10 412.56 498.76 -2.655
11 72.79 376.19 -1.103
12 105.31 324.12 -1.984
13 167.00 637.34 1.097
14 641.29 557.70 -1.016
15 438.53 713.91 -0.203
50
1 730.77 269.36 0.615
2 293.14 43.31 2.843
3 391.72 558.46 0.171
4 699.24 154.21 -2.294
5 705.24 187.11 -2.161
6 645.44 503.36 0.264
7 594.82 689.27 2.366
8 37.86 355.50 -1.712
9 95.31 192.40 -1.129
10 409.38 496.04 -2.618
11 77.39 368.49 -1.062
12 104.38 317.55 -1.992
13 167.04 637.53 1.087
14 644.44 554.27 -0.993
15 446.74 711.65 -0.288
51
1 737.59 274.06 0.589
2 282.37 46.98 2.798
3 399.75 560.66 0.235
4 696.88 150.78 -2.236
5 699.73 183.43 -2.199
6 651.31 504.78 0.258
7 587.77 695.13 2.379
8 38.49 352.11 -1.720
9 102.35 183.12 -1.095
10 403.91 492.12 -2.520
11 81.54 359.70 -1.142
12 102.08 311.02 -1.890
13 167.06 637.56 1.087
14 646.72 552.38 -0.996
15 454.74 707.49 -0.351
52
1 744.31 278.37 0.514
2 271.91 50.56 2.794
3 406.67 562.28 0.244
4 693.65 145.84 -2.242
5 695.17 179.78 -2.184
6 655.03 506.12 0.313
7 579.27 701.57 2.401
8 39.18 348.51 -1.728
9 111.10 173.33 -0.924
10 399.83 488.93 -2.506
11 85.27 350.64 -1.136
12 98.81 304.82 -1.902
13 167.04 637.54 1.086
14 649.37 548.50 -1.008
15 463.81 702.91 -0.404
53
1 750.57 281.14 0.461
2 262.31 53.11 2.774
3 415.99 564.05 0.128
4 689.91 141.35 -2.269
5 692.65 178.22 -2.294
6 659.20 508.29 0.368
7 569.88 711.38 2.417
8 40.05 345.01 -1.744
9 121.01 163.92 -0.886
10 394.96 485.25 -2.587
11 89.31 342.06 -1.168
12 97.84 297.79 -1.915
13 167.02 637.52 1.085
14 651.09 545.23 -0.986
15 472.19 699.25 -0.435
54
1 754.20 284.02 0.612
2 250.58 57.29 2.818
3 424.59 565.09 0.114
4 685.41 140.00 -2.309
5 688.29 175.76 -2.378
6 663.11 508.78 0.421
7 562.94 716.32 2.593
8 41.26 343.88 -1.727
9 130.07 154.01 -0.858
10 390.30 481.93 -2.541
11 93.09 335.30 -1.160
12 97.80 289.74 -1.729
13 167.01 637.41 1.092
14 653.18 540.99 -1.064
15 479.35 694.65 -0.448
55
1 756.34 287.03 0.735
2 240.69 61.48 2.714
3 433.35 564.56 0.002
4 684.17 137.30 -2.175
5 681.26 172.27 -2.399
6 667.21 509.35 0.328
7 558.42 719.77 2.669
8 42.05 341.24 -1.697
9 138.54 143.70 -0.885
10 385.06 478.60 -2.449
11 96.86 327.87 -1.124
12 96.79 283.33 -1.695
13 167.00 637.39 1.092
14 654.71 537.47 -1.128
15 488.10 689.81 -0.472
56
1 758.78 291.93 0.848
2 231.58 64.39 2.819
3 440.39 565.20 -0.076
4 684.66 135.49 -2.243
5 675.41 168.33 -2.343
6 668.61 509.14 0.321
7 551.77 723.27 2.664
8 42.51 337.53 -1.699
9 147.84 134.38 -0.919
10 381.16 474.09 -2.487
11 101.02 320.19 -1.203
12 97.05 276.73 -1.706
13 167.00 637.39 1.092
14 654.81 538.00 -1.122
15 496.43 684.32 -0.482
57
1 760.87 297.90 0.923
